epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,1978.22,0.45677,0.44039,0.89491,0.99891,1,0.995,0.94966,0.33474,0.44501,0.81159,0.0007922,0.0007922,0.0007922
63,2009.87,0.42187,0.40785,0.87513,0.99866,1,0.995,0.95085,0.33089,0.42662,0.80926,0.0007724,0.0007724,0.0007724
64,2040.95,0.41254,0.4293,0.88579,0.99877,1,0.995,0.93729,0.34125,0.4181,0.81538,0.0007526,0.0007526,0.0007526
65,2071.81,0.44788,0.41266,0.9129,0.99863,1,0.995,0.93329,0.34334,0.41982,0.81894,0.0007328,0.0007328,0.0007328
66,2102.46,0.45736,0.4399,0.90476,0.99861,1,0.995,0.93305,0.34365,0.42339,0.81518,0.000713,0.000713,0.000713
67,2133.05,0.43467,0.43469,0.89681,0.99894,1,0.995,0.93629,0.3582,0.42234,0.81503,0.0006932,0.0006932,0.0006932
68,2163.78,0.42056,0.41061,0.88054,0.99854,1,0.995,0.93324,0.34563,0.39778,0.81295,0.0006734,0.0006734,0.0006734
69,2194.59,0.40949,0.42459,0.89209,0.99804,1,0.995,0.94008,0.33577,0.40332,0.8107,0.0006536,0.0006536,0.0006536
70,2226.31,0.43747,0.43759,0.89072,0.99551,1,0.995,0.93193,0.3441,0.41358,0.80874,0.0006338,0.0006338,0.0006338
71,2257.88,0.41315,0.41026,0.87204,0.9897,1,0.995,0.93555,0.33312,0.40404,0.80513,0.000614,0.000614,0.000614
72,2288.3,0.4043,0.40702,0.89685,0.99464,1,0.995,0.93056,0.32127,0.39337,0.80172,0.0005942,0.0005942,0.0005942
73,2319.18,0.38127,0.3892,0.87706,0.99587,1,0.995,0.94082,0.31638,0.38963,0.8003,0.0005744,0.0005744,0.0005744
74,2349.72,0.39752,0.40712,0.89252,0.9966,1,0.995,0.94129,0.32499,0.38471,0.80418,0.0005546,0.0005546,0.0005546
75,2380.7,0.3868,0.3735,0.89206,0.99659,1,0.995,0.947,0.32615,0.3808,0.80598,0.0005348,0.0005348,0.0005348
76,2411.19,0.40731,0.38469,0.88289,0.99721,1,0.995,0.94789,0.31595,0.37086,0.80322,0.000515,0.000515,0.000515
77,2441.75,0.42014,0.38321,0.91366,0.99817,1,0.995,0.94395,0.31923,0.37163,0.80306,0.0004952,0.0004952,0.0004952
78,2472.49,0.3704,0.37564,0.8981,0.99924,1,0.995,0.94745,0.31543,0.36797,0.80457,0.0004754,0.0004754,0.0004754
